nickname,phone,email,password,name,money,address,birth,gender,registration
U1019,6103355744,U1019@splitit.net, Amelia, Amelia,385,Plaza del Carmen,11/3/2011,male,10/06/2022
U1113,605620361,U1113@splitit.net, Isaac, Isaac,371,Himno Nacional 100 Avenida,22/11/2013,male,10/06/2022
U1106,6681102076,U1106@splitit.net, Paula, Paula,874,Tangamanga 7 Tangamanga,11/1/2005,male,10/06/2022
U1016,6144131011,U1016@splitit.net, Nicholas, Nicholas,312,NICOLAS ZAPATA 300,9/4/1991,male,10/06/2022
U1099,62095810106,U1099@splitit.net, Edmund, Edmund,285,Venustiano Carranza 1809 C Polanco,28/5/2005,male,10/06/2022
U1054,69109105418,U1054@splitit.net, Obadiah, Obadiah,133,Paseo de las Fuentes,10/12/2004,female,10/06/2022
U1101,65108329210,U1101@splitit.net, Susie, Susie,241,Nereo Rodriguez Barragan 450 E Centro,5/5/1991,male,10/06/2022
U1032,615174989,U1032@splitit.net, CarolAnn, CarolAnn,599,Zaragoza entre Francisco Zarco y Lopez Velarde,3/8/1998,female,10/06/2022
U1031,686749380,U1031@splitit.net, Vanessa, Vanessa,107,Rio Papaloapan 265 Lomas de San Luis (3),11/8/2002,male,10/06/2022
U1021,6108488009,U1021@splitit.net, Norbert, Norbert,117,Himno nacional esq. Blvd. Juarez,25/10/1997,male,10/06/2022
U1080,6368163810,U1080@splitit.net, Zephaniah, Zephaniah,116,Av. de los Pintores,11/6/2007,female,10/06/2022
U1052,670903047,U1052@splitit.net, Cameron, Cameron,50,Tangamanga 7 Tangamanga,2/6/1994,female,10/06/2022
U1069,600741877,U1069@splitit.net, Bradford, Bradford,146,Himno nacional esq. Blvd. Juarez,8/9/1999,female,10/06/2022
U1008,6910393311,U1008@splitit.net, Eleanor, Eleanor,45,blvrd emilio portes gil,18/2/1995,male,10/06/2022
U1111,65918431010,U1111@splitit.net, Rosabella, Rosabella,151,esquina santos degollado y leon guzman,7/3/1991,female,10/06/2022
U1037,604400818,U1037@splitit.net, Adelphia, Adelphia,148,blvrd emilio portes gil,12/1/2011,male,10/06/2022
U1015,6583510509,U1015@splitit.net, Hannah, Hannah,146,Pascual M. Hernandez 240,7/11/2012,male,10/06/2022
U1131,612650941,U1131@splitit.net, Roxanne, Roxanne,43,avenida hivno nacional,5/11/1994,female,10/06/2022
U1070,671349662,U1070@splitit.net, Katelyn, Katelyn,152,Universidad 169,2/6/1995,female,10/06/2022
U1123,657664656,U1123@splitit.net, Asahel, Asahel,427,Cordillera de Los Alpes 160 Lomas 2 Seccion,6/2/2014,male,10/06/2022
U1033,6859210051,U1033@splitit.net, Alonzo, Alonzo,147,lic. Emilio portes gil,17/8/2011,male,10/06/2022
U1089,657123650,U1089@splitit.net, Isabel, Isabel,1174,Paseo de las Fuentes,8/2/2004,female,10/06/2022
U1027,621188664,U1027@splitit.net, Obadiah, Obadiah,651,cd. mier,23/5/1999,male,10/06/2022
U1086,64109105285,U1086@splitit.net, Jody, Jody,42,Rio Papaloapan 265 Lomas de San Luis (3),16/6/2000,female,10/06/2022
U1046,606377424,U1046@splitit.net, Reuben, Reuben,145,Av. de los Pintores,18/12/1995,male,10/06/2022
U1128,6327080810,U1128@splitit.net, Veronica, Veronica,891,cd. mier,2/4/2000,male,10/06/2022
U1073,6861035466,U1073@splitit.net, Marjorie, Marjorie,82,Himno Nacional 100 Avenida,9/11/1997,female,10/06/2022
U1013,61049105129,U1013@splitit.net, Francine, Francine,836,Venustiano Carranza 1809 C Polanco,6/5/2002,female,10/06/2022
U1026,673811334,U1026@splitit.net, Barnabas, Barnabas,257,Av. de los Pintores,3/3/2007,male,10/06/2022
U1065,60710334101,U1065@splitit.net, Ebenezer, Ebenezer,255,Revolucion,24/4/1994,female,10/06/2022
U1129,6280185101,U1129@splitit.net, Kris, Kris,140,Av. Carranza 830,12/3/1992,male,10/06/2022
U1039,673924764,U1039@splitit.net, Roger, Roger,161,sevilla y olmedo 715 a,21/2/2000,female,10/06/2022
U1075,6035480108,U1075@splitit.net, Rodger, Rodger,43,Paseo de las Fuentes,8/12/2007,male,10/06/2022
U1078,692557380,U1078@splitit.net, Lillah, Lillah,142,Himno Nacional 100 Avenida,12/6/2006,female,10/06/2022
U1122,66515310210,U1122@splitit.net, Nathaniel, Nathaniel,552,Av. Carranza 830,9/6/2003,male,10/06/2022
U1112,616200891,U1112@splitit.net, Bridget, Bridget,304,Cuauhtemoc 455,17/1/1997,female,10/06/2022
U1060,6689365710,U1060@splitit.net, Eleazer, Eleazer,45,NICOLAS ZAPATA 300,8/3/1992,male,10/06/2022
U1023,617109710910,U1023@splitit.net, Martha, Martha,77,sevilla y olmedo 715 a,12/8/2002,male,10/06/2022
U1072,639768632,U1072@splitit.net, Deliverance, Deliverance,40,Himno Nacional 100 Avenida,5/7/2006,female,10/06/2022
U1117,6104111823,U1117@splitit.net, Dick, Dick,249,Av. de los Pintores,16/7/1998,female,10/06/2022
U1035,6723385510,U1035@splitit.net, Melinda, Melinda,186,Libramiento Burgos Colonia Las Animas,17/10/1995,male,10/06/2022
U1040,610882271,U1040@splitit.net, Margaretta, Margaretta,141,cd. mier,5/5/2008,female,10/06/2022
U1004,61101068454,U1004@splitit.net, Gabriel, Gabriel,247,Rio Papaloapan 265 Lomas de San Luis (3),22/2/1999,male,10/06/2022
U1097,6667791041,U1097@splitit.net, Martha, Martha,456,esquina santos degollado y leon guzman,13/1/1993,male,10/06/2022
U1096,606610100610,U1096@splitit.net, Theresa, Theresa,938,Rayon sn col. Centro,4/8/2001,female,10/06/2022
U1136,609555888,U1136@splitit.net, Roseann, Roseann,545,Av. Carranza 830,19/11/2004,female,10/06/2022
U1011,609912191,U1011@splitit.net, Abel, Abel,42,avenida hivno nacional,14/9/1993,female,10/06/2022
U1093,642113639,U1093@splitit.net, Arabella, Arabella,156,Universidad 169,21/8/1998,female,10/06/2022
U1100,621636248,U1100@splitit.net, Geraldine, Geraldine,42,Himno nacional esq. Blvd. Juarez,18/8/2010,male,10/06/2022
U1074,6103616566,U1074@splitit.net, Cathleen, Cathleen,36,Plaza del Carmen,1/12/2011,female,10/06/2022
U1079,683847138,U1079@splitit.net, Winnifred, Winnifred,141,Av. Carranza 830,17/8/2003,male,10/06/2022
U1044,691741174,U1044@splitit.net, Randolph, Randolph,35,NICOLAS ZAPATA 300,3/11/2010,male,10/06/2022
U1118,675272903,U1118@splitit.net, Valeri, Valeri,42,Himno Nacional 100 Avenida,25/10/2010,female,10/06/2022
U1119,698767849,U1119@splitit.net, Isabella, Isabella,34,Universidad 169,19/4/2008,male,10/06/2022
U1066,62988010101,U1066@splitit.net, Johannah, Johannah,105,Rio Papaloapan 265 Lomas de San Luis (3),24/5/2004,male,10/06/2022
U1110,69310048104,U1110@splitit.net, Miriam, Miriam,119,Emiliano Zapata Col. Tres de Mayo,1/5/2003,female,10/06/2022
U1121,6093201091,U1121@splitit.net, Philly, Philly,108,Rayon sn col. Centro,4/6/2012,female,10/06/2022
U1126,650814920,U1126@splitit.net, Hermione, Hermione,102,Libramiento Burgos Colonia Las Animas,13/8/2014,female,10/06/2022
U1064,610888105010,U1064@splitit.net, Bert, Bert,113,Emiliano Zapata Col. Tres de Mayo,3/3/2003,female,10/06/2022
U1014,685934276,U1014@splitit.net, Chester, Chester,117,Universidad 169,9/11/1990,male,10/06/2022
U1125,6810176841,U1125@splitit.net, Adeline, Adeline,109,Venustiano Carranza 2175 Jardin,28/11/2014,female,10/06/2022
U1076,6105683486,U1076@splitit.net, Roseanna, Roseanna,213,Cordillera de Los Alpes 160 Lomas 2 Seccion,11/12/2002,male,10/06/2022
U1005,601153621,U1005@splitit.net, Derrick, Derrick,108,Cordillera de Los Alpes 160 Lomas 2 Seccion,26/11/1997,male,10/06/2022
U1010,6419921068,U1010@splitit.net, Margaretta, Margaretta,479,Zaragoza entre Francisco Zarco y Lopez Velarde,19/3/1995,male,10/06/2022
U1018,606026500,U1018@splitit.net, Manny, Manny,108,Cordillera de Los Alpes 160 Lomas 2 Seccion,21/1/2006,male,10/06/2022
U1022,687379980,U1022@splitit.net, Susan, Susan,100,Zaragoza entre Francisco Zarco y Lopez Velarde,14/12/1996,male,10/06/2022
U1007,6325482710,U1007@splitit.net, Fidelia, Fidelia,100,Libramiento Burgos Colonia Las Animas,11/12/1999,female,10/06/2022
U1092,644721178,U1092@splitit.net, Herbert, Herbert,197,Zaragoza entre Francisco Zarco y Lopez Velarde,8/4/2013,female,10/06/2022
U1090,6268801048,U1090@splitit.net, Samuel, Samuel,221,cd. mier,2/8/1998,female,10/06/2022
U1138,639250125,U1138@splitit.net, Virginia, Virginia,111,Av. de los Pintores,9/8/1992,female,10/06/2022
U1083,695566246,U1083@splitit.net, Elisha, Elisha,501,Rio Papaloapan 265 Lomas de San Luis (3),14/1/1990,male,10/06/2022
U1095,6040962105,U1095@splitit.net, Kristen, Kristen,1127,av. seminario,22/12/2008,female,10/06/2022
U1048,63109104346,U1048@splitit.net, Lavinia, Lavinia,290,sevilla y olmedo 715 a,22/10/1991,male,10/06/2022
U1030,68210510945,U1030@splitit.net, Thomas, Thomas,218,NICOLAS ZAPATA 300,5/1/2011,female,10/06/2022
U1012,6106165788,U1012@splitit.net, Alice, Alice,113,Venustiano Carranza 1809 C Polanco,7/7/2002,male,10/06/2022
U1108,6641058892,U1108@splitit.net, Melinda, Melinda,199,1a. de Lozada 1,10/2/2004,male,10/06/2022
U1084,61103910110,U1084@splitit.net, Isabel, Isabel,505,1a. de Lozada 1,6/8/1998,male,10/06/2022
U1034,602487550,U1034@splitit.net, Adelaide, Adelaide,720,Venustiano Carranza 2175 Jardin,8/7/2014,female,10/06/2022
U1120,6710869084,U1120@splitit.net, Anne, Anne,113,Libramiento Burgos Colonia Las Animas,27/12/2012,male,10/06/2022
U1063,677619130,U1063@splitit.net, Kathleen, Kathleen,231,Rio Papaloapan 265 Lomas de San Luis (3),27/6/2004,female,10/06/2022
U1130,6210224315,U1130@splitit.net, Tabitha, Tabitha,220,Cordillera de Los Alpes 160 Lomas 2 Seccion,8/11/2011,female,10/06/2022
U1058,601841092,U1058@splitit.net, Louise, Louise,500,avenida hivno nacional,22/3/1997,male,10/06/2022
U1133,6106357841,U1133@splitit.net, Henry, Henry,111,Paseo de las Fuentes,23/8/2003,female,10/06/2022
U1107,678741571,U1107@splitit.net, Vic, Vic,103,esquina santos degollado y leon guzman,13/3/1998,female,10/06/2022
U1020,6641083001,U1020@splitit.net, Matthew, Matthew,111,Paseo de las Fuentes,19/10/2005,female,10/06/2022
U1051,6010324253,U1051@splitit.net, Cornelia, Cornelia,110,Av. de los Pintores,10/2/1990,male,10/06/2022
U1041,6395033210,U1041@splitit.net, Agatha, Agatha,102,Nereo Rodriguez Barragan 450 E Centro,7/10/2006,male,10/06/2022
U1047,662592583,U1047@splitit.net, Rodger, Rodger,269,NICOLAS ZAPATA 300,22/6/1992,male,10/06/2022
