nickname,phone,email,password,name,money,address,birth,gender,registration
U1021,61101006106,U1021@splitit.net, Mary, Mary,108,NICOLAS ZAPATA 300,14/1/1995,female,16/06/2022
U1080,625522567,U1080@splitit.net, Bartholomew, Bartholomew,130,Plaza del Carmen,22/10/1998,female,16/06/2022
U1052,647293651,U1052@splitit.net, Donald, Donald,38,Universidad 169,22/10/2008,female,16/06/2022
U1069,69701011057,U1069@splitit.net, Eric, Eric,129,sevilla y olmedo 715 a,16/10/2010,female,16/06/2022
U1008,6269210482,U1008@splitit.net, Roseann, Roseann,38,Paseo de las Fuentes,7/1/2009,female,16/06/2022
U1111,603351369,U1111@splitit.net, Elizabeth, Elizabeth,146,NICOLAS ZAPATA 300,9/4/2011,male,16/06/2022
U1037,69107901078,U1037@splitit.net, Agnes, Agnes,157,esquina santos degollado y leon guzman,25/2/2010,female,16/06/2022
U1015,612744354,U1015@splitit.net, Joanne, Joanne,134,Cordillera de Los Alpes 160 Lomas 2 Seccion,13/9/1993,male,16/06/2022
U1131,6704810529,U1131@splitit.net, Sophia, Sophia,33,Pascual M. Hernandez 240,10/11/1999,male,16/06/2022
U1070,62109108417,U1070@splitit.net, Bartholomew, Bartholomew,150,av. seminario,9/7/2011,female,16/06/2022
U1123,6330610097,U1123@splitit.net, Edward, Edward,451,Rayon sn col. Centro,9/1/2009,male,16/06/2022
U1033,685734245,U1033@splitit.net, Bess, Bess,153,Rio Papaloapan 265 Lomas de San Luis (3),16/8/2012,male,16/06/2022
U1089,65981001021,U1089@splitit.net, Hannah, Hannah,1077,Rayon sn col. Centro,23/8/2003,male,16/06/2022
U1027,632068675,U1027@splitit.net, Calvin, Calvin,681,esquina santos degollado y leon guzman,3/4/2003,male,16/06/2022
U1086,668532527,U1086@splitit.net, Miriam, Miriam,39,avenida hivno nacional,20/6/1995,female,16/06/2022
U1046,610904425,U1046@splitit.net, Matthew, Matthew,142,Av. Carranza 830,10/2/2007,female,16/06/2022
U1128,6060640105,U1128@splitit.net, Adelaide, Adelaide,915,Venustiano Carranza 1809 C Polanco,8/3/2000,male,16/06/2022
U1073,680924955,U1073@splitit.net, Deliverance, Deliverance,82,Venustiano Carranza 1809 C Polanco,16/4/2015,male,16/06/2022
U1013,6609488410,U1013@splitit.net, Matilda, Matilda,832,cd. mier,16/1/2006,male,16/06/2022
U1026,6231086641,U1026@splitit.net, Oswald, Oswald,274,Cordillera de Los Alpes 160 Lomas 2 Seccion,5/4/1990,male,16/06/2022
U1065,691741234,U1065@splitit.net, Joanna, Joanna,259,Revolucion,11/3/2015,male,16/06/2022
U1129,654938468,U1129@splitit.net, Florence, Florence,140,Cuauhtemoc 455,21/3/2011,female,16/06/2022
U1039,634340523,U1039@splitit.net, Fran, Fran,156,esquina santos degollado y leon guzman,23/9/2006,male,16/06/2022
U1075,6061275103,U1075@splitit.net, Margaret, Margaret,48,Venustiano Carranza 2175 Jardin,1/5/2014,female,16/06/2022
U1078,672331284,U1078@splitit.net, Evaline, Evaline,145,Tangamanga 7 Tangamanga,3/12/1998,male,16/06/2022
U1122,607117329,U1122@splitit.net, Curtis, Curtis,608,lic. Emilio portes gil,4/1/2015,male,16/06/2022
U1112,6124510093,U1112@splitit.net, Bill, Bill,303,Pascual M. Hernandez 240,3/12/1992,female,16/06/2022
U1060,6796400103,U1060@splitit.net, Joseph, Joseph,37,NICOLAS ZAPATA 300,4/4/2000,male,16/06/2022
U1023,631798050,U1023@splitit.net, Brady, Brady,88,Universidad 169,3/10/1998,female,16/06/2022
U1072,6067108657,U1072@splitit.net, Roseanna, Roseanna,44,Revolucion,20/4/1995,male,16/06/2022
U1117,663408182,U1117@splitit.net, Roland, Roland,265,av. seminario,13/1/1990,male,16/06/2022
U1035,6310225329,U1035@splitit.net, Gabriella, Gabriella,176,Paseo de las Fuentes,21/3/2011,male,16/06/2022
U1040,61010324816,U1040@splitit.net, Conrad, Conrad,154,esquina santos degollado y leon guzman,27/9/1996,male,16/06/2022
U1004,67004101034,U1004@splitit.net, Kendall, Kendall,268,lic. Emilio portes gil,23/1/1992,male,16/06/2022
U1097,680920444,U1097@splitit.net, Mehitabel, Mehitabel,465,1a. de Lozada 1,28/12/2004,male,16/06/2022
U1096,6906103523,U1096@splitit.net, Antonia, Antonia,898,Zaragoza entre Francisco Zarco y Lopez Velarde,6/8/2009,female,16/06/2022
U1136,61028171038,U1136@splitit.net, Helene, Helene,605,cd. mier,23/8/1999,male,16/06/2022
U1011,6429410069,U1011@splitit.net, Montgomery, Montgomery,39,Rayon sn col. Centro,26/11/1990,female,16/06/2022
U1093,601316271,U1093@splitit.net, Cornelia, Cornelia,157,av. seminario,6/6/2004,male,16/06/2022
U1100,693776231,U1100@splitit.net, Winnifred, Winnifred,41,Cuauhtemoc 455,22/11/2013,male,16/06/2022
U1074,62181010255,U1074@splitit.net, David, David,38,Pascual M. Hernandez 240,11/4/2000,female,16/06/2022
U1079,6105993265,U1079@splitit.net, Debora, Debora,154,Av. de los Pintores,7/2/1996,male,16/06/2022
U1044,6195439810,U1044@splitit.net, Magdelina, Magdelina,37,Nereo Rodriguez Barragan 450 E Centro,24/8/1998,female,16/06/2022
U1118,619167852,U1118@splitit.net, Arlene, Arlene,40,Rayon sn col. Centro,18/2/1998,female,16/06/2022
U1119,61810476110,U1119@splitit.net, Emily, Emily,35,Pascual M. Hernandez 240,19/12/1992,female,16/06/2022
U1066,6761043124,U1066@splitit.net, Bertha, Bertha,125,blvrd emilio portes gil,15/4/2013,female,16/06/2022
U1110,6111010551,U1110@splitit.net, Jon, Jon,117,Venustiano Carranza 1809 C Polanco,16/6/2008,female,16/06/2022
U1121,63510036010,U1121@splitit.net, Keziah, Keziah,120,Himno nacional esq. Blvd. Juarez,17/4/1998,male,16/06/2022
U1126,6311082268,U1126@splitit.net, Arabella, Arabella,112,Himno nacional esq. Blvd. Juarez,2/2/2013,male,16/06/2022
U1064,646909526,U1064@splitit.net, Patsy, Patsy,110,Libramiento Burgos Colonia Las Animas,11/7/1990,male,16/06/2022
U1014,610140783,U1014@splitit.net, Joan, Joan,117,Universidad 169,22/10/1990,male,16/06/2022
U1125,660071382,U1125@splitit.net, Edward, Edward,98,blvrd emilio portes gil,16/11/1993,male,16/06/2022
U1076,637854224,U1076@splitit.net, Vanessa, Vanessa,222,Zaragoza entre Francisco Zarco y Lopez Velarde,3/3/2006,female,16/06/2022
U1005,624202330,U1005@splitit.net, Patrick, Patrick,102,av. seminario,28/8/1998,female,16/06/2022
U1010,6351102435,U1010@splitit.net, Olive, Olive,427,Venustiano Carranza 2175 Jardin,25/4/2001,female,16/06/2022
U1018,63836310210,U1018@splitit.net, Constance, Constance,94,Rayon sn col. Centro,28/5/1999,female,16/06/2022
U1022,6710297096,U1022@splitit.net, Addy, Addy,98,NICOLAS ZAPATA 300,13/9/2007,female,16/06/2022
U1007,610109210369,U1007@splitit.net, Daniel, Daniel,105,lic. Emilio portes gil,5/2/2006,female,16/06/2022
U1092,61099881002,U1092@splitit.net, Alberta, Alberta,216,Himno nacional esq. Blvd. Juarez,6/10/2015,male,16/06/2022
U1090,662629094,U1090@splitit.net, Philip, Philip,204,Paseo de las Fuentes,16/6/1999,female,16/06/2022
U1138,6326054210,U1138@splitit.net, Helene, Helene,98,Cuauhtemoc 455,13/3/2015,female,16/06/2022
U1083,607332402,U1083@splitit.net, Mary, Mary,521,Cuauhtemoc 455,3/1/2007,male,16/06/2022
U1095,698150059,U1095@splitit.net, Valerie, Valerie,1122,Rio Papaloapan 265 Lomas de San Luis (3),11/8/2009,male,16/06/2022
U1048,653823990,U1048@splitit.net, Charles, Charles,283,NICOLAS ZAPATA 300,14/10/2015,male,16/06/2022
U1030,62910410362,U1030@splitit.net, Joseph, Joseph,234,Nereo Rodriguez Barragan 450 E Centro,5/11/2013,male,16/06/2022
U1012,678024913,U1012@splitit.net, Kathleen, Kathleen,100,Zaragoza entre Francisco Zarco y Lopez Velarde,9/4/2007,female,16/06/2022
U1108,61431051510,U1108@splitit.net, Melissa, Melissa,233,Emiliano Zapata Col. Tres de Mayo,18/12/1992,male,16/06/2022
U1084,61000341050,U1084@splitit.net, Alexander, Alexander,439,esquina santos degollado y leon guzman,5/7/1999,male,16/06/2022
U1034,652573588,U1034@splitit.net, James, James,789,NICOLAS ZAPATA 300,22/11/2004,female,16/06/2022
U1120,676425062,U1120@splitit.net, Eduardo, Eduardo,97,Calle Mezquite Fracc Framboyanes,2/11/1997,female,16/06/2022
U1063,6100337679,U1063@splitit.net, Margaretta, Margaretta,199,Venustiano Carranza 1809 C Polanco,26/12/2009,female,16/06/2022
U1130,6166100888,U1130@splitit.net, Edward, Edward,193,Universidad 169,14/7/1995,male,16/06/2022
U1058,6110946614,U1058@splitit.net, Cordelia, Cordelia,413,Universidad 169,3/10/2015,male,16/06/2022
U1133,6160141086,U1133@splitit.net, Margaret, Margaret,111,Rayon sn col. Centro,12/12/2014,female,16/06/2022
U1107,6749108771,U1107@splitit.net, Augustus, Augustus,109,Av. de los Pintores,4/3/2001,female,16/06/2022
U1020,6302089105,U1020@splitit.net, Vincenzo, Vincenzo,107,Emiliano Zapata Col. Tres de Mayo,11/7/1996,male,16/06/2022
U1051,627372463,U1051@splitit.net, David, David,102,Rayon sn col. Centro,10/12/2009,female,16/06/2022
U1041,6110296311,U1041@splitit.net, Julian, Julian,117,cd. mier,24/3/2010,male,16/06/2022
U1047,6356351083,U1047@splitit.net, Nelle, Nelle,323,Libramiento Burgos Colonia Las Animas,9/7/2003,female,16/06/2022
